id,title,task_type,priority,status,description,expected_behavior,eta_date,deadline,created_at,started_at,completed_at
38,"Duplicate Menu Items in Need Help Section",Bug,Medium,Completed,"[BUG-036 · Product Page]

Need Help section shows duplicate links.

Current: Both hardcoded and dynamic links render.","Each link appears only once.",,"2026-04-08 17:00:00","2026-04-05 00:00:00","2026-04-06 00:00:00","2026-04-08 17:00:00"
39,"Subcategory Limit of 10 Showing",Bug,High,Completed,"[BUG-037 · Collection]

Only 10 subcategories show on L2 collection pages.

Current: Hardcoded limit of 10 in forloop.","All subcategories should display.",,"2026-04-08 17:00:00","2026-04-05 00:00:00","2026-04-06 00:00:00","2026-04-08 17:00:00"
40,"Wishlist Access Missing","UI Change",Medium,Completed,"[BUG-038 · Header]

No wishlist link in header navigation.

Current: Wishlist icon/link not present.","Heart icon linking to /pages/my-wishlist.",,"2026-04-08 17:00:00","2026-04-05 00:00:00","2026-04-06 00:00:00","2026-04-08 17:00:00"
41,"Price Range Filter Cropped on Search Results",Bug,High,Completed,"[BUG-039 · Search]

Price filter clipped in sidebar.

Current: max-height + overflow clip the filter.","Price filter fully visible (now buttons).",,"2026-04-08 17:00:00","2026-04-05 00:00:00","2026-04-06 00:00:00","2026-04-08 17:00:00"
42,"Subcategory Labels Inconsistent with Menu Labels",Bug,Low,Completed,"[BUG-040 · Collection]

Subcategory tabs show raw collection titles instead of clean labels.

Current: Prefixes like ""New Theme -"" visible.","Clean label names matching menu.",,"2026-04-08 17:00:00","2026-04-05 00:00:00","2026-04-06 00:00:00","2026-04-08 17:00:00"
43,"Hero Slider Pagination Dots Wrong Position","UI Change",Medium,Completed,"[BUG-041 · Hero Banner]

Carousel dots outside image instead of over it.

Current: Dots positioned below content.","Dots at bottom-right over the image.",,"2026-04-08 17:00:00","2026-04-05 00:00:00","2026-04-06 00:00:00","2026-04-08 17:00:00"
44,"Mega Menu Promo Text Shows Raw Liquid Code","UI Change",Medium,Completed,"[BUG-042 · Header]

Mega menu displays raw Liquid code.

Current: {{ section.settings.member_promo_megamenu_text }} visible.","Plain text message displayed.",,"2026-04-08 17:00:00","2026-04-05 00:00:00","2026-04-06 00:00:00","2026-04-08 17:00:00"
45,"Default to Request a Quote Tab via URL",Feature,Medium,Completed,"[IMP-001 · Contact Page]

Allow URL parameter to pre-select quote form tab (?tab=quote).

Current: Always defaults to General Inquiry.","/pages/contact?tab=quote selects quote tab.",,"2026-04-08 17:00:00","2026-04-05 00:00:00","2026-04-06 00:00:00","2026-04-08 17:00:00"
46,"Pre-populate Quote Form for Logged-in Users",Feature,Medium,Completed,"[IMP-002 · Contact Page]

Auto-fill form fields with customer data.

Current: Form fields empty for logged-in users.","Name, email, phone pre-filled.",,"2026-04-08 17:00:00","2026-04-05 00:00:00","2026-04-06 00:00:00","2026-04-08 17:00:00"
47,"Add Variations Badge to Product Cards",Feature,Medium,Completed,"[IMP-003 · Product Cards]

Show number of variants on product cards.

Current: No indication of variant count.","Gold badge showing ""X Options"".",,"2026-04-08 17:00:00","2026-04-05 00:00:00","2026-04-06 00:00:00","2026-04-08 17:00:00"
48,"Connect Hexagon Brand Logos to Vendor Pages",Feature,Medium,Completed,"[IMP-004 · Homepage]

Brand logos in hexagon grid had no links.

Current: All brand link fields empty.","Each logo links to /collections/vendors?q=brand (34 logos + View All).",,"2026-04-08 17:00:00","2026-04-05 00:00:00","2026-04-06 00:00:00","2026-04-08 17:00:00"
49,"Portal replication (new portal structure)",Feature,High,Completed,"New feature set introduced Mar 26: Portal replication with updated structure.

Requested via Jielin timeline message (2026-04-15).",,,,"2026-03-26 09:00:00",,"2026-04-23 18:33:13"
50,"Resources structure update",Feature,Medium,Completed,"Resources section restructure requested alongside portal work.

Requested via Jielin timeline message (2026-04-15).",,,,"2026-03-26 09:00:00",,"2026-04-23 18:35:13"
51,"SPP — Unhide recommendation sections (Other Products from this line / You may also like)","UI Change",High,Completed,"UI updates plus recommendation logic changes requested as part of Mar 26 feature set.

Requested via Jielin timeline message (2026-04-15).","",,,"2026-03-26 09:00:00",,"2026-05-08 16:48:54"
52,"Portal setup & structure changes (WIP)",Feature,High,Completed,"Work in progress across Mar 30–31 on portal setup and related structural updates.

Requested via Jielin timeline message (2026-04-15).",,,,"2026-03-30 09:00:00",,"2026-04-23 18:35:24"
53,"Inventory status feature",Feature,High,Completed,"New feature to surface inventory status on product pages (logic still under refinement).

Requested via Jielin timeline message (2026-04-15).",,,,"2026-04-02 09:00:00",,"2026-04-20 19:56:42"
54,"Journey page UI refinement","UI Change",Medium,Pending,"Journey page layout — tighter spacing, more compact layout.

Requested via Jielin timeline message (2026-04-15).",,,,"2026-04-02 09:00:00",,"2026-07-27 15:57:54"
55,"Mini cart feature",Feature,High,Completed,"Mini cart enhancement request — compact cart interaction.

Requested via Jielin timeline message (2026-04-15).",,,,"2026-04-04 09:00:00",,"2026-04-23 18:28:38"
56,"Product logic — zero-price handling & card notes",Feature,Medium,Completed,"0-price product handling plus notes inside product cards.

Requested via Jielin timeline message (2026-04-15).",,,,"2026-04-04 09:00:00",,"2026-04-21 19:27:46"
57,"Outbound customer notifications: improve the default Shopify templates",Feature,Medium,Completed,"Path: Shopify Admin Settings >> Notifications >> Customer notifications

https://admin.shopify.com/store/celebratefestivalinc/settings/notifications/customer","",,,"2026-04-09 09:00:00",,"2026-05-21 22:05:42"
58,"work_with_products limit + mobile UI issue",Bug,High,Completed,"Works With Products section on mobile SPP shows as horizontal scrolling carousel instead of vertical list. When many products are added via the works_with_products metafield, the horizontal layout overflows and is unusable on mobile. Screenshot attached. Fix: compact-carousel-track switches to flex-direction:column on <=992px breakpoint.",,,,"2026-04-10 09:00:00",,"2026-04-23 18:37:41"
59,"call-to-order tag issue",Bug,High,Completed,"call-to-order tag affecting product/variant behavior incorrectly. Specifically: on products tagged call-to-order, product images and variant selectors stop responding (clicks have no effect). After removing the tag, the page works normally. Bug reported 2026-04-09 with video evidence.",,,,"2026-04-10 09:00:00",,"2026-04-23 18:38:17"
60,"Load More instead of pagination (CPH / Hashtag portal)",Feature,Medium,Completed,"Replace paginated navigation with Load More pattern on CPH / Hashtag portal.

Requested via Jielin timeline message (2026-04-15).",,,,"2026-04-11 09:00:00",,"2026-05-05 17:59:34"
61,"SEO — pricing in Google search results",Feature,Medium,Completed,"Expose product pricing in Google search results via structured data / Merchant listings.

Requested via Jielin timeline message (2026-04-15).",,,,"2026-04-11 09:00:00",,"2026-04-23 18:39:56"
64,"SPP other_resources metafield — wrong filename + broken links",Bug,High,Completed,"In the Resources & Documents accordion on the SPP, files added via the other_resources metafield (list.file_reference) display as ""GenericFileDrop"" instead of their actual filename, and clicking them opens nothing. Affects product: https://celebratefestivalinc.com/products/waring-wsb40x-quik-stik-plus-10-1-2-hp-medium-duty-immersion-blender-120v. Root cause: (1) file_url filter does not work on GenericFile objects — correct property is resource_file.url; (2) resource_file coerced to string outputs class name GenericFileDrop instead of the URL.","Each file in other_resources metafield shows its real filename and opens the file in a new tab when clicked.",,,"2026-04-15 16:46:47",,"2026-04-23 18:41:18"
65,"Estimate Shipping — sidebar cart modal",Feature,Medium,Completed,"Client wants an Estimate Shipping feature inside the sidebar/drawer cart. Needs full planning and research before implementation can begin.

Scope as described:
- A button labelled ""Estimate Shipping"" visible in the sidebar cart
- Clicking opens a modal overlay
- Modal contains: Country selector, Province/State selector, Postal/ZIP code input, and a Calculate button
- On calculate: calls Shopify Shipping Rates API (/cart/shipping_rates.json) with cart contents + address
- Results displayed as a list of available carriers + prices inside the same modal below the form
- No page navigation — everything in-modal

Research needed before dev:
1. Shopify Shipping Rates API format + CORS requirements (requires server-side proxy or storefront API)
2. Whether cart must have items for rates to return (empty cart edge case)
3. Province dropdown dynamic population based on selected country
4. How to handle multiple currencies / market rates
5. Error states (invalid postal, no rates available, API timeout)
6. Integration point: which cart file (main-cart-celebrate-festival.liquid or quick-cart.liquid / cart-drawer)","User clicks ""Estimate Shipping"" button in the cart sidebar. A modal opens with Country, Province, Postal Code fields and a Calculate button. After filling and clicking Calculate, a list of shipping options with carrier names and rates appears below the form in the same modal. No page reload.",2026-04-29,2026-04-29,"2026-04-15 16:48:31",,"2026-05-02 09:44:53"
68,"AI chatbot page — messages not scrollable when chat gets long",Bug,High,Completed,"On the AI Kitchen Consultant page (/pages/ai-kitchen-consultant), when the conversation grows long the chat messages overflow out of the viewport with no scroll. User cannot read earlier messages.

Root cause: .cf-ai__center (the center flex column) was missing overflow:hidden and min-height:0. In a CSS grid with height:100vh, grid children need these to be constrained. Without them, .cf-ai__center grew past the viewport so the inner .cf-chatbot__body overflow-y:auto never activated.

Fix applied:
1. sections/page-ai-assistant.liquid:42 — added overflow:hidden + min-height:0 to .cf-ai__center
2. assets/cf-chatbot.css:58 — added min-height:0 to .cf-chatbot__body to complete the flex shrink chain","Chat messages area scrolls vertically when conversation is longer than the viewport. Earlier messages remain accessible by scrolling up.",,,"2026-04-15 18:37:20",,"2026-04-23 18:48:51"
69,"Chatbot — messages overflow and push page, no inner scroll",Bug,High,Completed,"On the Celebrate Festival site chatbot widget: as the conversation grows, the message list does NOT scroll inside the chat card. Instead the earlier messages push the top bar up and the whole chat box extends past the viewport, making the header (Back / Send) and the composer hard to reach. Reproduced with repeated product queries (e.g. Robot Coupe food processors).

See attachment for a screenshot of the overflow state.","Chat card has a fixed height and its message list scrolls internally. Top bar (title + close) and composer stay pinned regardless of history length.",,,"2026-04-15 19:07:35",,"2026-04-23 18:49:31"
70,"Image Icon categories section 04/16",Feature,Medium,Completed,"We have Icon categories already in the L2 page as shown attached. Need to add similar section in the main page under trusted brands section.","",,,"2026-04-16 20:54:09",,"2026-05-06 00:08:26"
71,"Snapshot/thumbnail for pdf files 04/16",Feature,Medium,Completed,"For files in the Resources section, show the snapshot of the pdf instead of only the doc name.","",,,"2026-04-16 20:58:21",,"2026-05-21 00:13:07"
72,"Image zoom effect & pic size","UI Change",Medium,Completed,"The current Zoom in effect goes too big, not help end customer to view.
Also, can the product pictures size fits the image box? not leaving too much blank in both sides","",,,"2026-04-16 21:03:09",,"2026-05-14 16:48:52"
73,"Certifications metafields like drop down menu",Feature,Low,Completed,"This metafields is using JSON format. Need to change to drop down menu","",,,"2026-04-16 21:04:14",,"2026-05-11 20:08:06"
74,"Online Traffic Analytics Reports",Feature,Medium,Completed,"This is a reminder of monthly reports on:
1. SEO performance
2. Social media presence
3. UX","",,,"2026-04-16 21:17:11",,"2026-04-21 19:27:46"
75,"L3 category not shows products properly 04/17",Bug,High,Completed,"1. Was checking Indian Specialty products for emailer use, noticed that Kitchen Utensils subcategories are not showing all products.
2. if hit back to the previous path, it direct to bad page.

Check details in the video","",,,"2026-04-17 20:59:53",,"2026-05-01 16:15:18"
76,"Inventory status feature - 2nd iteration 04/20",Feature,High,Pending,"For those out-of-stock products, needs to differentiate Indian products vs USA products with different text. 
1. No changes needed for USA products.

2. For Indian products/variants, if out-of-stock, show “Notify me when back in stock”. 
Indian products are with below vendors:   
    'Celebrate Festival Inc',
    'Hawkins',
    'Shaan',
    'Kwitex',
    'Rotoquip',
    'Prestige',
    'Preethi',
    'Milton'
","",2026-05-11,2026-05-11,"2026-04-20 20:30:55",,"2026-05-25 14:41:22"
77,"Mobile side:","UI Change",High,Completed,"Product Page on mobile:
work_with_products & Description section break the phone page width","",,,"2026-04-20 20:53:16",,"2026-04-21 19:26:08"
78,"LinkedIn Insight Tag — Sitewide Installation",Feature,Medium,Completed,"Install the LinkedIn Insight Tag globally in theme.liquid above </body> so it fires on every page for audience tracking and retargeting.\n\nPartner ID: 9205612","LinkedIn Insight Tag fires on all pages. Verified via LinkedIn Campaign Manager pixel helper.",,,"2026-04-21 14:19:34",,
79,"LinkedIn Conversion Tracking — Button Click Events",Feature,Medium,Completed,"Add LinkedIn conversion tracking event to specific button or form submission elements so Jielin can track button clicks in LinkedIn Campaign Manager.\n\nCode to fire on click:\nwindow.lintrk('track', { conversion_id: 25153836 })\n\nClient request: add to relevant CTA buttons (Add to Cart, Login for Member Pricing, contact forms, etc). Awaiting confirmation on which specific buttons to track.","window.lintrk track event fires on targeted button clicks. Conversions appear in LinkedIn Campaign Manager under Conversion ID 25153836.",,,"2026-04-21 14:19:34",,"2026-04-21 19:31:46"
80,"Contact Us page - Technical Support submission not going into our inbox 04/21",Bug,Low,Completed,"Only the Technical Support submission not going into our inbox as I tested multiple times. Other forms are good. ","",,,"2026-04-21 21:02:10",,"2026-05-05 17:58:16"
81,"Inbound form submissions",Feature,Medium,Completed,"Currently all inquiries (support, general, financing) are being sent as plain text emails. We’ve installed Shopify Forms app to store submissions, and need to align on finalizing this setup.

APP link:
https://admin.shopify.com/store/celebratefestivalinc/apps/shopify-forms
","Need to map the fields in the Contact Us page, including different forms (gengeral inquery, tech support, quote, financing), to the Shopify Forms so that leads can store as Shopify customers automatically. Also need to tag forms to make clear the lead source.",,,"2026-04-23 16:33:25",,"2026-05-11 17:20:15"
82,"Resources page content populate",Feature,Low,Completed,"Now that this page structure is in place, need to create related content/posts.","",,,"2026-04-23 18:35:06",,"2026-05-06 00:10:46"
83,"Brands Hexagon & all brands page: new brands adding","UI Change",High,Completed,"With more new vendors added to our Shopify:
1. Hexagon section: need to redesign/compact to include more logos 
2. All brands page: can new vendor logos be visible automatically after new vendor-logo-xxx.png added in the code? Also we want to add a side-panel list-view with all brands.
Check attachments.","",,,"2026-05-01 21:15:25",,"2026-08-06 17:48:43"
84,"Change Icon of Indian Specialty in the main menu bar",Feature,Medium,Completed,"Rupesh changed this icon long time ago, it was overwritten. ","",,,"2026-05-01 21:18:03",,"2026-05-05 16:26:50"
85,"In Sale Section, 0 price products are hidden",Bug,Low,Completed,"Please check this collection (name in Shopify: New Theme -Sale Collection, and link pasted below). The first product Lincoln oven (SKU 1400‐FB2G) is 0 priced and it's hidden in the storefront.

https://celebratefestivalinc.com/collections/new-theme-staff-picks-copy","",,,"2026-05-01 22:04:42",,"2026-06-01 18:30:46"
86,"Order Status page showing backend codes",Bug,Medium,Completed,"order status page link: 
https://celebratefestivalinc.com/56234836013/orders/a831c1bb10f26fb58e3ef485fc8553da

Need to hide those codes.","",,,"2026-05-04 21:26:10",,"2026-05-06 00:21:49"
87,"Display actual color swatches for variants","UI Change",Medium,Completed,"Please help us evaluate this request: to display actual color swatches, instead of just text names on storefront. The variants color options and metafields are connected on Shopify. Check attachments.

Use this product as testing. SKU APRARN000018019.

https://celebratefestivalinc.com/products/ariane-prime-round-medium-rim-flat-porcelain-banquet-plate-case-of-12?variant=44918402908205","",,,"2026-05-06 18:33:12",,"2026-06-02 17:06:56"
88,"Update tandoor image in the Hero Slider",Bug,High,Completed,"","Please don't use that tandoor image anywhere in the future. Rupesh pointed it out many times. I'm sorry.",,,"2026-05-11 20:14:03",,"2026-05-20 23:09:02"
89,"Our Trusted Restaurant Partners - new section in main page & a new partners page",Feature,High,Pending,"Rupesh asks for a new section in main page and its own separate partners page to present the chain restaurants we have business with. We want to have:
1.⁠ ⁠The Map marked with our business presence. (excluding states: Alaska, Maine, Mississippi,South Dakota, Vermont) 
2.⁠ ⁠Top brands: Paris Baguette, T⁠ous les Jours, Curry Pizza House, Hashtag India, Mylapore and Deccan Morsels

Please check our expected layout for new section and page. If you need to move this task into the Feature dev, do it. I'm not able to add the Feature section.","",2026-06-01,,"2026-05-11 22:12:19",,
90,"Repeated ""Free Shipping"" Lable in SPP",Bug,Low,Completed,"","",,,"2026-05-13 16:18:50",,"2026-07-07 22:15:53"
91,"Financing Button directs to 404 page",Bug,Medium,Completed,"Financing Button at top right in main page directs to 404 page. ","",,,"2026-05-13 16:35:23",,"2026-05-20 23:08:14"
92,"Track Order button update landing page","UI Change",Low,Completed,"Please link the Track Order button to the Orders page as shown attached.","",,,"2026-05-13 16:50:50",,"2026-05-25 14:41:22"
93,"Track Order button update landing page","UI Change",Low,Completed,"Please link the Track Order button to the Orders page as shown attached.","",,,"2026-05-13 16:50:52",,"2026-05-13 17:00:43"
94,"Use Case image remove emoji","UI Change",Medium,Completed,"","",,,"2026-05-13 19:02:09",,"2026-05-21 18:58:52"
95,"Use Case section new pages",Feature,High,Completed,"This Feature development is high priority. Rupesh expect it by the end of this month.

We need to create 2 Use Case pages as shown attached.
1. One page is for after clicking the ""View More Use Cases"" button, it shows all use cases.
2. The next level page is after clicking one use case (let's start from “Grocery Store”), it shows Featured Categories, Popular Products per Category and etc. 

Our internal team is working on content of Featured Categories, Popular Products. Please develop the layout of new pages.
","",,,"2026-05-13 20:06:21",,"2026-05-26 14:54:49"
