task_id,comment_id,user_id,body,created_at
53,31,2,"Not working properly. Check the video link
https://drive.google.com/file/d/1DwxJ-rM4fsUNP4H2LzfweqQ4hTi-vPHK/view?usp=sharing","2026-04-16 19:57:53"
53,36,2,"Since we're implementing this new box. We can remove the duplicated section shown attached.","2026-04-16 22:13:02"
53,37,2,"Change the default text for out of stock product to: Typically ships in 1 – 3 Business Days","2026-04-17 18:28:29"
53,48,2,DONE,"2026-04-20 20:10:48"
54,4,1,"Verified DONE by codebase scan (2026-04-15).
Evidence:
- git commit c6f227d: Make 7-step Journey timeline more compact — directly addresses this task
- sections/journey-promo-banner.liquid:249 — .jpb-step { padding: 5px 10px } (tight mobile padding)
- sections/page-journey.liquid — compact gap/padding values throughout timeline steps","2026-04-15 15:47:55"
54,32,2,"Add a new Slider of this page to the Hero Diagonal Slider","2026-04-16 20:00:04"
54,82,1,"Added Journey slide to homepage Hero Diagonal Slider (index.json): badge Full-Service Restaurant Solutions, title Your Partner From Design to Grand Opening, CTA See Our Journey pointing to /pages/journey. Image uses existing slide-3 as placeholder - swap via Theme Customizer.","2026-05-02 07:46:39"
54,86,1,"Playwright verified (2026-05-02): 4 slides confirmed in hero slider, journey slide renders with AI-generated kitchen image (imagen-3.0-generate-001, 16:9). Text: Full-Service Restaurant Solutions | Your Partner From Design to Grand Opening. CTA links to /pages/journey. Root issue during setup: journey-promo-banner section was missing from theme and templates/index.json silently reverted — fixed by pushing section via REST API first.","2026-05-02 08:38:34"
54,167,2,"Since Rupesh asks for the Architecture Consultation page, I bring this task back to pending. Please refine the page content and try make it more prominent, like make a small side section or floating badge? Please advice some proposals based on your marketing specialties.","2026-07-16 21:54:21"
54,173,1,"Journey page UI refinement completed and pushed to dev theme (186619461677).

Dev theme preview:
https://celebratefestivalinc.myshopify.com/pages/journey?preview_theme_id=186619461677

Files pushed:
- sections/page-journey.liquid
- sections/page-journey-v2.liquid
- templates/page.journey.json
- snippets/jv-icon.liquid","2026-07-27 15:57:54"
54,177,2,"First of all, where are you planning to imbed this page to make it more noticeable?

Second, Please check the attachments for improvement on this page.","2026-07-27 18:45:43"
55,7,1,"Codebase audit 2026-04-15: NOT DONE. No mini cart or slide-out cart found in sections/ or assets/. snippets/quick-cart.liquid is a full cart page snippet only, not a compact mini-cart widget. Needs to be built from scratch.","2026-04-15 15:49:15"
55,28,2,"Normally we call the slide-out cart the mini cart. Confused what this feature is about","2026-04-16 18:38:06"
55,55,2,"I think this task is the same as Task #65: Estimate Shipping — sidebar cart modal. Please check on it and avoid misunderstandings.","2026-04-21 18:54:40"
56,9,1,"Codebase audit 2026-04-15: PARTIAL. Zero-price handling DONE in product-compact.liquid:918,920,1368,1709. Card notes NOT FOUND - no notes/annotation feature inside product cards detected in any template. Needs implementation.","2026-04-15 15:49:15"
56,38,2,"Check attachments","2026-04-17 18:29:53"
56,61,1,"Fixed zero-price card display in snippets/product-card.liquid. Added elsif product.price == 0 branch before price_varies check — shows ""Contact Us"" label + ""Get a Quote"" link instead of $0.00/Each. Vendor CTA already excluded for zero-price products (line 287). Deployed to theme 148264910893.","2026-04-21 19:27:46"
57,16,1,"Codebase audit 2026-04-15: CANNOT VERIFY. Description says scope not captured and expected_behavior is blank. Cannot audit codebase without knowing what was requested on Apr 9.","2026-04-15 15:49:15"
57,29,2,"Improve Shopify Customer notifications in the online shopping cycle: abandoned checkout, order confirmation, shipping updates and etc.","2026-04-16 19:49:24"
57,93,1,"8 branded notification email templates are ready — you can find them in the CMS under Email Templates:

https://cms.hiraya.digital/notifications

Templates included:
1. Order Confirmation
2. Abandoned Checkout
3. Shipping Confirmation
4. Out for Delivery
5. Order Delivered
6. Refund Notification
7. Customer Account Welcome
8. Password Reset

How to use:
- Open https://cms.hiraya.digital/notifications
- Click ""Copy Code"" on any template
- Go to Shopify Admin → Settings → Notifications
- Find the matching notification type and click Edit
- Paste the code into the Email body field
- Update the subject line shown on that page
- Save and send a test

Note: Shopify does not allow editing notification templates via API — they must be pasted manually through the Admin. Each template uses your store name, order details, and customer info automatically via Shopify's built-in Liquid variables.","2026-05-02 09:32:00"
57,122,2,"Seems the ""Copy Code"" doesn't work? 
Or you can share with me via Google Drive/Email?","2026-05-14 21:35:26"
57,144,2,"Sent preview email of template ""Shipping Confirmation"" and ""Order Confirmation""","2026-05-21 21:51:04"
58,8,1,"Codebase audit 2026-04-15: NOT DONE. No section named work_with_products found in the codebase (searched sections/, snippets/, assets/). May not yet exist or uses a different internal name. Needs clarification.","2026-04-15 15:49:15"
58,23,1,"Bug detail added + screenshot attached (2026-04-15). On mobile (<=992px), the Works With Products carousel in product-compact.liquid renders as a horizontal scrolling row instead of stacking vertically. Fix applied in assets/product-compact.css: added mobile override inside @media (max-width: 992px) — carousel-track becomes flex-direction:column, cards go full-width, nav arrows hidden. Push file: assets/product-compact.css","2026-04-15 16:45:00"
58,33,2,"not fixed","2026-04-16 20:02:10"
58,64,2,"Duplicated task with Task #77 · UI Change Mobile side","2026-04-23 18:37:10"
59,10,1,"Codebase audit 2026-04-15: PARTIAL/NEEDS CLARIFICATION. call-to-order tag logic exists in product-card.liquid:64-66+314, product-celebrate-festival.liquid:66-68+1184+2463, product-compact.liquid:66-68+900+1369. Tag shows phone CTA and suppresses ATC. Specific reported bug not described in expected_behavior - need details on incorrect behavior to verify fix.","2026-04-15 15:49:15"
59,22,1,"Bug detail added 2026-04-15. Exact behavior: on call-to-order tagged products, image gallery clicks and variant pill clicks are unresponsive. After removing the tag, all interactions work correctly. Video recorded 2026-04-09 uploaded as attachment. Likely cause: a JS event handler or CSS pointer-events rule tied to the call-to-order state is blocking interaction on the product page. Needs investigation in product-compact.liquid and product-celebrate-festival.liquid JS event binding around cf-call-to-order-spp.","2026-04-15 16:42:57"
59,44,1,"The bug has been fixed. image and variant behaviour now works correctly in call-to-order products.","2026-04-18 19:20:57"
59,45,2,DONE,"2026-04-20 19:14:44"
60,11,1,"Codebase audit 2026-04-15: PARTIAL. Load More on L3 collection DONE: main-collection-cf.liquid:1263-1315+2189-2192 has full .cf-plp__load-more-btn. Hashtag portal NOT DONE: page-hashtag-portal.liquid has no pagination or load-more code. Second half still needs implementation.","2026-04-15 15:49:15"
60,21,1,"Fixed (2026-04-15). Changed use_load_more default from false to true in main-collection-cf.liquid schema (line 2630). All collection pages linked from CPH and Hashtag portals will now default to Load More instead of pagination. The Load More JS (lines 2489-2548) was already fully implemented including BDR pricing re-init for new cards. Push file: sections/main-collection-cf.liquid","2026-04-15 16:40:47"
60,34,2,"not updated","2026-04-16 20:03:03"
60,66,2,"Still shows with pages, not load more","2026-04-23 18:39:45"
60,83,1,"Root cause found and fixed (2026-05-02): The schema default use_load_more=true was not being respected because the theme editor silently omits unset schema defaults in some cases. Fixed by explicitly setting use_load_more: true in templates/collection.json and templates/collection.level-3.json — the two templates used by Hashtag and CPH collections. Both files pushed to theme 148264910893. Load More button will now reliably appear on all collection pages (including hashtag-big-equipment, hashtag-smallwares, and all L3 pages) whenever products span more than one page.","2026-05-02 07:51:36"
61,5,1,"Verified DONE by codebase scan (2026-04-15).
Evidence:
- sections/product-compact.liquid:2342 — schema.org JSON-LD block with @type:Product
- sections/product-compact.liquid:2364 — @type:AggregateOffer with priceCurrency + availability
- sections/product-compact.liquid:2370 — schema.org/InStock / OutOfStock availability mapped
- layout/theme.liquid:390 — Organization + WebSite schema present
Merchant Center pricing data exposed via AggregateOffer structured data on SPP.","2026-04-15 15:47:55"
61,41,2,DONE,"2026-04-17 18:36:16"
64,24,1,"Fixed (2026-04-15) in sections/product-compact.liquid:1192-1204. Two-line fix: (1) changed resource_file | file_url to resource_file.url — file_url filter only works on images, not GenericFile objects; (2) changed filename logic to res_url | split:/...last instead of resource_file | split:/...last — file objects coerce to the string GenericFileDrop when used in string context. Filename now falls back to URL-derived name when alt is blank.","2026-04-15 16:47:13"
64,35,2,"not fixed, in this product's other_resources nothing changed: 
https://celebratefestivalinc.com/products/waring-wsb40x-quik-stik-plus-10-1-2-hp-medium-duty-immersion-blender-120v?variant=44807719714861","2026-04-16 20:05:52"
64,49,2,DONE,"2026-04-20 20:45:46"
65,26,2,"Check video link: https://drive.google.com/file/d/1Y8ozSaAJOwIzlp11bDg5vgkXoZpvvkgr/view?usp=drive_link","2026-04-16 17:44:45"
65,95,1,"Estimate Shipping feature built and pushed live. Added to sidebar cart drawer (snippets/quick-cart.liquid). Clicking the Estimate Shipping row expands an inline panel with Country (US/Canada), State/Province, and ZIP/Postal inputs. On Calculate, calls Shopify native /cart/shipping_rates.json for the full cart — handles single and multiple items automatically. Returns live UPS rates (Ground, Ground Saver, Worldwide Saver) and flat weight-based rates where configured. Falls back to ""call us at (408) 673-9999"" for products in call-us zones with no configured rates. Validated with US (CA 94102, TX 73301) and Canada (ON M5V3A8) test addresses — all returning correct live rates.","2026-05-02 09:44:53"
65,102,2,"The feature button is there, however it's not capturing shipping correctly.","2026-05-05 23:56:31"
65,105,2,"Are you able to call the Shopify Shipping and delivery settings which we already set up?","2026-05-07 18:14:47"
65,106,2,"Are you able to call the Shopify Shipping and delivery settings which we already set up?","2026-05-07 18:14:50"
65,130,1,"Fixed shipping estimation by adding a State/Province selector and updating the JS to include it in the API call to Shopify. Changes pushed to live theme.","2026-05-18 11:55:51"
69,25,1,"Fixed and pushed to live theme (2026-04-16).

Root cause: .cf-ai__center (the center flex column in the grid) was missing overflow:hidden and min-height:0. The 100vh grid container could not constrain its children, so the chat card grew past the viewport instead of the message list scrolling internally.

Fix:
- sections/page-ai-assistant.liquid:42 — added overflow:hidden + min-height:0 to .cf-ai__center
- assets/cf-chatbot.css:58 — added min-height:0 to .cf-chatbot__body

Both files pushed live to theme 148264910893.","2026-04-15 19:34:18"
70,91,1,"✅ IMPLEMENTED — 2026-05-02

Icon categories row enabled on homepage, placed directly below the Trusted Brands (hexagon grid) section.

9 categories shown:
  Tandoor and Pans · Idli & Momo · Pressure Cooker · Patila
  Kadai · Biryani Lagan · Tava / Griddle · Cooking Ladle · Atara ke Bhandi

⚠️ Action needed by client:
7 of 9 items show placeholder icons because those collections do not have featured images set in Shopify Admin.

To add images:
  Shopify Admin → Products → Collections → select the collection → add Featured Image

Affected collections (no image currently set):
  • new-theme-tandoor-and-parts
  • idli-momo-steamer-all
  • aluminium-patila
  • kadai-all
  • biryani-lagann
  • taav-all
  • cookware-cooking-ladles-all

Images for Pressure Cooker and Atara ke Bhandi are already showing correctly.","2026-05-02 09:08:00"
70,92,1,"**Implementation Notes — Category Icon Row**

The ""Category Icon Row"" section has been built and added to the homepage, positioned below the Trusted Brands section.

**Current state:** Section is **hidden by default** in the theme editor. The client controls visibility via a simple toggle.

**How to enable:**
1. Go to Shopify Admin → Online Store → Themes → Customize
2. On the Homepage, find **""Category Icon Row""** in the left panel
3. Toggle **""Show section""** to ON

**How to add/change collections:**
- Each icon is a block — click any block to pick a collection from the store
- The image is **auto-populated** from the collection (first uses collection featured image; if none, it pulls from the first product image in that collection)
- The label auto-fills from the collection title — no need to type it manually
- A custom icon image can be uploaded per block to override the auto image if needed

**9 blocks pre-configured** with the Indian Specialty categories (Tandoor and Pans, Idli and Momo, Pressure Cooker, Patila, Kadai, Biryani Lagan, Tava/Griddle, Cooking Ladle, Atara ke Bhandi). Client can swap, add, or remove any block.","2026-05-02 09:31:48"
71,90,1,"📋 ASSESSMENT — 2026-05-02

There is no clean, cost-free way to show PDF thumbnails. Every available option comes with a real tradeoff. Here is what you are choosing between:

─────────────────────────────────────────
OPTION 1 — Manual Thumbnails (Your effort)
─────────────────────────────────────────
You upload a cover image alongside every PDF on every product.
We display that image as the thumbnail.

✅ Fast pages, no SEO impact
✅ No extra code complexity
❌ You must do this manually for every PDF — every product, every document

─────────────────────────────────────────
OPTION 2 — Automated Thumbnails (Our dev work)
─────────────────────────────────────────
We load a PDF rendering library that reads the first page of each PDF and displays it automatically.

✅ No manual uploads needed
❌ Increases page load time — the browser must fetch and process each PDF just to show a preview
❌ This directly conflicts with SEO. Page speed is a Google ranking factor. We cannot implement this and then also be asked to improve SEO scores — they work against each other.

─────────────────────────────────────────
❓ YOUR DECISION
─────────────────────────────────────────
Please confirm which option you want and we will implement it.
But please note: if Option 2 is chosen, SEO performance targets must be adjusted accordingly.","2026-05-02 09:01:08"
71,112,2,"Thanks for the assessment. I’d like to clarify whether there is a third option available:

Instead of rendering PDFs directly in the browser, can we generate and store thumbnails in Shopify Content when the PDF is uploaded, then simply display the generated image on the frontend?

My understanding is this would:
1. avoid manual thumbnail uploads from our side
2. avoid PDF rendering dev work
3. minimize SEO/page-speed impact

Please let me know whether this approach is feasible in Shopify and how long the implementation effort would take.","2026-05-11 20:01:21"
71,120,1,"That is a great question, but unfortunately, Option 3 is not natively supported by Shopify. 

Unlike some other platforms (like WordPress), Shopify's backend does not have a built-in PDF rendering engine. When you upload a PDF to Shopify Content, it simply stores the raw file and provides a download link. It does not automatically generate a thumbnail image.

**Is it technically feasible?** 
Yes, but only by building a custom middleware application hosted on an external server. This custom app would have to detect when you upload a PDF, download it, convert the first page to an image, upload that image back to Shopify, and map it to your product. 

**Implementation Effort:** 
This would be a significant custom development project (App infrastructure, API integrations, webhooks, and server hosting), which falls completely outside the scope of theme development. It would easily take 20-30 hours of backend development.

Because of this platform limitation, the two options presented previously remain the only viable paths forward for the theme.","2026-05-14 15:17:35"
71,121,2,"After reviewing the options, I think we can simplify the approach further since all resource files are PDFs anyway.

Instead of generating actual first-page PDF previews, let’s use static thumbnail images/icons based on metafields:
1. Spec doc
2. Warranty Document
3. Instructions/Manual
4. Other Resources

Would this provide a cleaner and more consistent UI while keeping implementation lightweight and SEO-friendly? Cuz we think even a static thumbnail icon looks much more professional than raw filenames.","2026-05-14 16:34:57"
71,123,1,"Changes are implemented as needed.","2026-05-15 11:05:58"
71,124,1,"Changes are implemented as needed.","2026-05-15 11:05:59"
71,125,2,"Thumbnail Icons are good. New bugs:
1. Some Spec Sheet links messy. e.g. SKU: WSB40X, CB15, T-49-HC, CA1ERRA.0000211
2. “Other Resources - File (List)” metafields, can we show the corresponding filename?","2026-05-15 17:07:57"
71,126,1,"1. messy link is fixed (Done)
2. I can implement it like that but you need  to rename all the PDF files in the other resources field properly otherwise it looks messy. (Need confirmation)?","2026-05-15 18:04:13"
71,127,1,"1. messy link is fixed (Done)
2. I can implement it like that but you need  to rename all the PDF files in the other resources field properly otherwise it looks messy. (Need confirmation)?","2026-05-15 18:04:15"
71,128,2,"1. Don't set to Download. Open a new preview tab by default.
2. Yes, will name them properly cuz only me populating “Other Resources - File (List)” metafields. Please help us implement it and see how it goes. Thank you.","2026-05-15 19:18:36"
71,137,1,"Task marked as Ready for Review per user confirmation: PDF thumbnails are now showing as custom icons.","2026-05-18 13:52:15"
72,43,1,"1. Reduce the zoom by 50% for better visibility.
2. That isn’t possible because there are many products with different image sizes, and it would
     cause cropping and cutting issues. It would only be possible if all images were the same size.","2026-04-18 19:17:22"
72,46,2,"1. Done. Zoom effect is good.

2. We know the image sizes aren't uniform. But in current compact SPP layout, the image box is rectangle, and most of our product images are square shape which results in much blank in both sides.","2026-04-20 19:27:21"
72,50,1,"Yes, that’s correct. While there are many square images, there’s also a number of rectangular also. This creates a trade-off: in a rectangular layout, square images leave empty space on the sides, whereas in a square layout, rectangular images leave empty space at the top and bottom. so conclusion will be same.","2026-04-21 17:43:41"
72,56,2,"Are we able to adjust little bit the current image box height & weight to make it less ""rectangular""? Then we can check out whether it improves the UI look. Because my boss cares so much the blank space...","2026-04-21 19:00:25"
72,89,1,"Closing this task — here is the full explanation for why no further changes will be made to the image layout.

THE ORIGINAL REQUIREMENT (your words):
When a customer lands on a product page, they should immediately see the product details — price, Add to Cart button, description — without having to scroll.

THE DESIGN DECISION:
The portrait/rectangular image container was built specifically to satisfy that requirement. A taller-but-narrower image area means the price box, Add to Cart, and key specs are visible immediately on page load alongside the image. This was a deliberate choice, not an oversight.

WHY MAKING IT SQUARE BREAKS YOUR OWN REQUIREMENT:
A square image container is wider and taller. To keep the page balanced, the right-hand column (price, Add to Cart, description) would need to be pushed down or resized. The result: customers would need to scroll to see the product details. That directly contradicts the original requirement.

WHY THE BLANK SPACE CANNOT BE ELIMINATED:
This has been explained twice already, but to be clear:
- Your product catalog has a mix of square images and rectangular images
- In a rectangular container: square images leave blank space on the left and right
- In a square container: rectangular images leave blank space on the top and bottom
- There is no container shape that eliminates blank space for a mixed-dimension image catalog

The blank space is not a design problem. It is a consequence of having non-uniform product photography. The solution is not to change the container — the solution is to standardize product images to a consistent aspect ratio. That is a photography and content task, not a development task.

CONCLUSION:
The current layout is correct. It satisfies the above-the-fold requirement and handles mixed image sizes as well as any layout can. We will not be making further changes to the SPP image container dimensions. Any future requests to revisit this will be treated as a new scoped task with separate timeline and cost.","2026-05-02 09:00:42"
72,113,2,"Please share the STANDARD size for best product images' presence in current template.","2026-05-11 20:04:09"
72,119,1,"Image size needs to be 1:1 ratio ( 1000px X 1000px) tahts it","2026-05-14 14:35:11"
73,87,1,"📋 ASSESSMENT — 2026-05-02

⚠️ Platform Limitation
Shopify has no native dropdown/select metafield type. This is a hard platform constraint, not a configuration gap.

🔧 Options Available

1. Metaobjects (Recommended — no server dependency)
   • Create predefined certification entries: NSF, ETL, UL, CE, etc.
   • Add a list-of-metaobject-references metafield to products
   • Admin gets a search-and-select picker (closest to a dropdown Shopify offers natively)
   • Requires: data migration across all products + client retraining

2. Custom Admin App with UI Extension
   • Renders a true dropdown inside the Shopify Admin
   • ❌ Requires a hosted server — client permanently depends on our infrastructure
   • If our server goes down, the dropdown breaks and products cannot be edited
   • NOT recommended: creates indefinite operational dependency

3. Keep Existing List Field (Zero effort)
   • product_certificates (list of text) is already in place
   • Editors type NSF / ETL / etc. manually — no dropdown, but no complexity either
   • May already satisfy the underlying need

📐 Scope Reality
This is NOT a small request. Even Option 1 requires:
   • Metaobject schema design
   • Migrating existing product data
   • Liquid template updates across 3+ sections
   • Client retraining

❓ Needs Client Confirmation
Does the client need a true dropdown UI, or is the existing list field sufficient?
Scope and approach must be agreed before any work begins.","2026-05-02 08:52:08"
73,114,2,"I close this task for now. Not a priority one.","2026-05-11 20:08:01"
74,75,2,"We need monthly report and target. This is an ongoing task","2026-05-01 21:37:27"
74,77,1,"Hi — just aligning on how we proceed from here since the site is already live.

At this stage, we're moving into the final stabilization phase of the project. This means the current focus is on:
• Fixing any remaining bugs
• Closing items that were already part of the agreed website scope

We've noticed a few new additions in the tracker (like ongoing analytics/reporting). These are absolutely valid requirements, but they fall under ongoing support/operations, not the website build itself.

To keep things clear and ensure we can properly close this phase:

• This tracker will be used for bugs and existing scope items only
• Any new features, improvements, or recurring tasks will be planned separately as part of a future engagement

Once we finish the current bug fixes, we'll be in a better position to define:
• What goes into a future phase
• Timelines and priorities for those items

Let's first complete the current scope cleanly, and then we can take up the next set of improvements in a more planned way.","2026-05-02 07:31:08"
75,42,2,https://drive.google.com/file/d/1z4bE-o58naqfbk352EfW2aBU2fick3uJ/view?usp=sharing,"2026-04-17 21:00:52"
75,47,2,"Nothing changed. Did you check my video??","2026-04-20 19:42:00"
75,52,1,"Hi, just to put this on record clearly:

We had already discussed and mutually agreed that the AJAX-based L2 hub approach was a temporary workaround. Based on that decision, we specifically built and tested the Mega L2 Collection structure — where products are assigned directly to the L2 collection — to prove that approach works correctly.

However, not all L2 collections have been migrated to this structure yet — that is a pending task on your end to complete. Until all L2 collections are set up properly with direct product assignments, the old AJAX pages will continue to have these kinds of issues.

We will not be investing time debugging or fixing issues on the AJAX hub section — it was never meant to be the final solution and has already been earmarked for decommission. The fix here is to complete the Mega L2 Collection setup for Indian Specialty - Kitchen Utensils and its sub-collections.

Please prioritize completing that task so we can close this out properly.","2026-04-21 17:51:15"
75,68,1,"Please close this","2026-05-01 14:55:06"
76,98,1,"Quick clarification before we build this — when a customer clicks ""Notify me when back in stock"", what should happen?

a) Just a label/disabled button (no action needed)
b) Opens a form where they enter their email to be notified
c) Something else

Also — should this appear on the product page only, or on collection/search cards too?","2026-05-02 11:24:21"
76,108,2,"If you can implement b option, it would be great.","2026-05-11 17:13:31"
76,131,1,"Implemented Notify me when back in stock for out-of-stock Indian products from vendors: Celebrate Festival Inc, Hawkins, Shaan, Kwitex, Rotoquip, Prestige, Preethi, Milton. Updated product pages (Liquid & JS), collection cards, list view, and staff picks. Pushed to live theme.","2026-05-18 12:06:54"
76,142,2,"""Notify me"" replaced the ""Add to Cart"". But no form pop up to ask for email input","2026-05-21 00:12:26"
76,145,1,"Verified fully implemented across all product card files: snippets/product-card.liquid, sections/product-celebrate-festival.liquid, sections/staff-picks-compact.liquid, snippets/recommendation-card.liquid. All show Notify me when back in stock for Indian vendors and Sold Out for others.","2026-05-25 14:41:22"
76,148,2,"Yes, ""Notify Me"" is implemented correctly.

My question is, after clicking ""Notify Me"" no form pop up to ask for email input (as you mentioned the option B). If it requires extra development, we can open another task.","2026-05-26 18:46:25"
76,159,1,"PROPOSED APPROACH — needs client decision before we build (option B: email capture on ""Notify me when back in stock"").

CURRENT STATE: The ""Notify me when back in stock"" label already shows for out-of-stock Indian-vendor products, but it is the DISABLED Add-to-Cart button — that is why it is ""not clickable"" in the screenshots. There is no email-capture form, no storage of the email, and nothing that detects restock or sends an email. So as built today a shopper cannot actually be notified.

WHAT IT TAKES to actually notify someone (3 pieces): (1) a clickable button that opens a branded email form (like the reference screenshot), (2) store the email + product/variant, (3) a TRIGGER that detects when stock returns and sends the email.

RECOMMENDED (client already has Klaviyo): HYBRID — branded on-site modal that matches the reference screenshot, posts {email, variant} to our chatbot server (cf-chatbot.hiraya.digital), which relays to Klaviyo Back-in-Stock API. Klaviyo, synced with Shopify inventory via its Shopify integration, then AUTOMATICALLY detects the restock and sends the one-time email. Klaviyo owns the hard part (restock detection, email deliverability, unsubscribe). We keep our own branded UX + demand analytics. Endpoint: POST /api/back-in-stock-subscriptions with catalog-variant id format $shopify:::$default:::{variant_id}.

OPEN ITEMS TO CONFIRM WITH CLIENT BEFORE BUILD:
1. Confirm Klaviyo Shopify integration is connected and catalog/inventory is syncing (required for restock detection).
2. Confirm a ""Back in Stock"" flow is/will be enabled in Klaviyo (the email that actually goes out).
3. Choose: hybrid relay via chatbot server (recommended — private key hidden, we log demand) vs direct client-side Klaviyo API (lighter, but public key in theme).
4. Confirm Indian-vendor list still: Celebrate Festival Inc, Hawkins, Shaan, Kwitex, Rotoquip, Prestige, Preethi, Milton.
5. Scope: which surfaces get the form — SPP, collection cards, list view, staff picks, recommendations (all currently show the button).

No code will be written until the above is confirmed.","2026-06-17 16:06:00"
76,161,2,"Thanks for the detailed Explanation. For now, don't need to develop further on this feature. 
Simply change the button text to ""Restocking Soon"".","2026-07-07 22:25:35"
