entity_type,entity_id,action,detail,user_id,created_at
task,47,"status:In Progress","Pending → In Progress",1,"2026-04-06 00:00:00"
task,46,"status:In Progress","Pending → In Progress",1,"2026-04-06 00:00:00"
task,45,"status:In Progress","Pending → In Progress",1,"2026-04-06 00:00:00"
task,44,"status:In Progress","Pending → In Progress",1,"2026-04-06 00:00:00"
task,43,"status:In Progress","Pending → In Progress",1,"2026-04-06 00:00:00"
task,42,"status:In Progress","Pending → In Progress",1,"2026-04-06 00:00:00"
task,41,"status:In Progress","Pending → In Progress",1,"2026-04-06 00:00:00"
task,40,"status:In Progress","Pending → In Progress",1,"2026-04-06 00:00:00"
task,39,"status:In Progress","Pending → In Progress",1,"2026-04-06 00:00:00"
task,38,"status:In Progress","Pending → In Progress",1,"2026-04-06 00:00:00"
task,37,"status:In Progress","Pending → In Progress",1,"2026-04-06 00:00:00"
task,48,status:Completed,"In Progress → Completed",1,"2026-04-08 17:00:00"
task,47,status:Completed,"In Progress → Completed",1,"2026-04-08 17:00:00"
task,46,status:Completed,"In Progress → Completed",1,"2026-04-08 17:00:00"
task,45,status:Completed,"In Progress → Completed",1,"2026-04-08 17:00:00"
task,44,status:Completed,"In Progress → Completed",1,"2026-04-08 17:00:00"
task,43,status:Completed,"In Progress → Completed",1,"2026-04-08 17:00:00"
task,42,status:Completed,"In Progress → Completed",1,"2026-04-08 17:00:00"
task,41,status:Completed,"In Progress → Completed",1,"2026-04-08 17:00:00"
task,40,status:Completed,"In Progress → Completed",1,"2026-04-08 17:00:00"
task,39,status:Completed,"In Progress → Completed",1,"2026-04-08 17:00:00"
task,38,status:Completed,"In Progress → Completed",1,"2026-04-08 17:00:00"
task,37,status:Completed,"In Progress → Completed",1,"2026-04-08 17:00:00"
task,57,created,"from timeline 2026-04-09",2,"2026-04-09 09:00:00"
task,59,created,"from timeline 2026-04-10",2,"2026-04-10 09:00:00"
task,58,created,"from timeline 2026-04-10",2,"2026-04-10 09:00:00"
task,61,created,"from timeline 2026-04-11",2,"2026-04-11 09:00:00"
task,60,created,"from timeline 2026-04-11",2,"2026-04-11 09:00:00"
task,61,"status:Ready for Review","codebase audit: schema.org AggregateOffer with pricing confirmed in product-compact.liquid",1,"2026-04-15 15:47:55"
task,54,"status:Ready for Review","codebase audit: journey compact layout confirmed via git commit c6f227d",1,"2026-04-15 15:47:55"
task,53,"status:Ready for Review","codebase audit: inventory box fully implemented in product-compact.liquid",1,"2026-04-15 15:47:55"
task,50,"status:Ready for Review","admin confirmed done",1,"2026-04-15 16:37:43"
task,52,"status:Ready for Review","admin confirmed done",1,"2026-04-15 16:37:43"
task,49,"status:Ready for Review","admin confirmed done",1,"2026-04-15 16:37:43"
task,60,"status:Ready for Review","Fixed: changed use_load_more default to true in main-collection-cf.liquid schema",1,"2026-04-15 16:40:47"
task,59,comment:added,"Bug details clarified + video attachment added",1,"2026-04-15 16:42:57"
task,58,"status:Ready for Review","Fix applied in product-compact.css media query",1,"2026-04-15 16:45:00"
task,58,comment:added,"Mobile carousel bug screenshot attached + fix applied",1,"2026-04-15 16:45:00"
task,64,"status:Ready for Review","Fix applied in product-compact.liquid + screenshot attached",1,"2026-04-15 16:47:13"
task,65,"status:Needs Clarification","Feature logged — needs API research + implementation planning before dev can start",1,"2026-04-15 16:48:53"
task,60,attachment:added,"Screenshot showing standard pagination instead of Load More on collection page",1,"2026-04-15 17:07:27"
task,61,attachment:added,"Screenshot showing pricing appearing in Google search results",1,"2026-04-15 17:07:27"
task,68,"status:Ready for Review","Fix applied + screenshot attached",1,"2026-04-15 18:37:37"
task,11,created,"Chatbot overflow bug — reported with screenshot",2,"2026-04-15 19:07:35"
task,69,"status:Ready for Review","Fix pushed live — overflow:hidden + min-height:0 on .cf-ai__center",1,"2026-04-15 19:34:18"
task,65,commented,"Check video link: https://drive.google.com/file/d/1Y8ozSaAJOwIzlp11bDg5vgkXoZpvv",2,"2026-04-16 17:44:45"
task,51,commented,"Bofore the web launch, we requested in SPP two sections ""Other Products from thi",2,"2026-04-16 18:36:35"
task,55,commented,"Normally we call the slide-out cart the mini cart. Confused what this feature is",2,"2026-04-16 18:38:06"
task,56,uploaded,"Screenshot 2026-04-16 at 12.43.03 PM.png",2,"2026-04-16 19:43:59"
task,57,uploaded,"Screenshot 2026-04-16 at 12.49.03 PM.png",2,"2026-04-16 19:49:13"
task,57,commented,"Improve Shopify Customer notifications in the online shopping cycle: abandoned c",2,"2026-04-16 19:49:24"
task,50,commented,"Populate content",2,"2026-04-16 19:51:24"
task,53,commented,"Not working properly. Check the video link
https://drive.google.com/file/d/1Dwx",2,"2026-04-16 19:57:53"
task,54,commented,"Add a new Slider of this page to the Hero Diagonal Slider",2,"2026-04-16 20:00:04"
task,58,commented,"not fixed",2,"2026-04-16 20:02:10"
task,60,commented,"not updated",2,"2026-04-16 20:03:03"
task,64,commented,"not fixed, in this product's other_resources nothing changed: 
https://celebrat",2,"2026-04-16 20:05:52"
task,70,uploaded,"WhatsApp Image 2026-04-07 at 09.38.11.jpeg",2,"2026-04-16 20:54:09"
task,70,uploaded,"WhatsApp Image 2026-03-26 at 11.28.35.jpeg",2,"2026-04-16 20:54:09"
task,70,created,"Image Icon categories section 04/16",2,"2026-04-16 20:54:09"
task,71,uploaded,"Screenshot 2026-04-16 at 1.57.58 PM.png",2,"2026-04-16 20:58:21"
task,71,uploaded,"Screenshot 2026-04-16 at 1.57.00 PM.png",2,"2026-04-16 20:58:21"
task,71,created,"Snapshot/thumbnail for pdf files",2,"2026-04-16 20:58:21"
task,71,edited,"Metadata updated",2,"2026-04-16 20:59:47"
task,53,status:Pending,"Ready for Review → Pending",2,"2026-04-16 21:00:21"
task,72,created,"Image zoom effect & pic size",2,"2026-04-16 21:03:09"
task,73,created,"Certifications metafields like drop down menu",2,"2026-04-16 21:04:14"
task,74,created,"Online Traffic Analytics Reports",2,"2026-04-16 21:17:11"
task,53,commented,"Since we're implementing this new box. We can remove the duplicated section show",2,"2026-04-16 22:13:02"
task,53,uploaded,"Screenshot 2026-04-16 at 3.10.53 PM.png",2,"2026-04-16 22:13:14"
task,53,commented,"Change the default text for out of stock product to: Typically ships in 1 – 3 Bu",2,"2026-04-17 18:28:29"
task,56,commented,"Check attachments",2,"2026-04-17 18:29:53"
task,49,commented,"This Hashtag Portal task is DONE.",2,"2026-04-17 18:32:57"
task,52,commented,DONE,2,"2026-04-17 18:33:37"
task,61,commented,DONE,2,"2026-04-17 18:36:16"
task,75,created,"L3 category not shows products properly 04/17",2,"2026-04-17 20:59:53"
task,75,commented,https://drive.google.com/file/d/1z4bE-o58naqfbk352EfW2aBU2fick3uJ/view?usp=shari,2,"2026-04-17 21:00:52"
task,75,"status:Ready for Review","Pending → Ready for Review",1,"2026-04-18 19:14:58"
task,72,commented,"1. Reduce the zoom by 50% for better visibility.
2. That isn’t possible because",1,"2026-04-18 19:17:22"
task,72,"status:Ready for Review","Pending → Ready for Review",1,"2026-04-18 19:17:30"
task,59,commented,"The bug has been fixed. image and variant behaviour now works correctly in call-",1,"2026-04-18 19:20:57"
task,59,"status:Ready for Review","Pending → Ready for Review",1,"2026-04-18 19:21:03"
task,59,commented,DONE,2,"2026-04-20 19:14:44"
task,72,commented,"1. Done. Zoom effect is good.

2. We know the image sizes aren't uniform. But ",2,"2026-04-20 19:27:21"
task,75,commented,"Nothing changed. Did you check my video??",2,"2026-04-20 19:42:00"
task,75,uploaded,"Screenshot 2026-04-20 at 12.42.09 PM.png",2,"2026-04-20 19:42:58"
task,53,status:Completed,"Pending → Completed",1,"2026-04-20 19:56:42"
task,53,commented,DONE,2,"2026-04-20 20:10:48"
task,76,created,"Inventory status feature - 2nd iteration 04/20",2,"2026-04-20 20:30:55"
task,64,commented,DONE,2,"2026-04-20 20:45:46"
task,77,created,"Mobile side:",2,"2026-04-20 20:53:16"
task,77,uploaded,"WhatsApp Image 2026-04-08 at 14.33.39.jpeg",2,"2026-04-20 20:53:17"
task,79,created,"LinkedIn Conversion Tracking — Button Click Events",1,"2026-04-21 14:19:34"
task,78,created,"LinkedIn Insight Tag — Sitewide Installation",1,"2026-04-21 14:19:34"
task,55,eta,17h,1,"2026-04-21 14:37:16"
task,72,commented,"Yes, that’s correct. While there are many square images, there’s also a number o",1,"2026-04-21 17:43:41"
task,77,commented,"Please provide the page link. When I check it, it appears normal with no issues.",1,"2026-04-21 18:02:15"
task,77,commented,"Please provide the page link. When I check it, it appears normal with no issues.",1,"2026-04-21 18:02:19"
task,55,commented,"I think this task is the same as Task #65: Estimate Shipping — sidebar cart moda",2,"2026-04-21 18:54:40"
task,72,commented,"Are we able to adjust little bit the current image box height & weight to make i",2,"2026-04-21 19:00:25"
task,77,commented,"Those are issue products caught. Please find the root cause, not able to review ",2,"2026-04-21 19:05:54"
task,77,status:Completed,"Pending → Completed",1,"2026-04-21 19:26:08"
task,77,commented,"Fixed and verified",1,"2026-04-21 19:26:32"
task,77,commented,"Fixed and verified",1,"2026-04-21 19:26:35"
task,65,eta,"Scheduled for Apr 29, 2026",1,"2026-04-21 19:26:56"
task,77,status_changed,"Status changed from Pending to Completed",1,"2026-04-21 19:27:24"
task,74,status:Completed,"Pending → Completed",1,"2026-04-21 19:27:46"
task,56,status_changed,"Status changed from Pending to Ready for Review",1,"2026-04-21 19:27:46"
task,79,status_changed,"Status changed from Pending to Ready for Review",1,"2026-04-21 19:31:46"
task,77,commented,"Did you also check this one on mobile? The description section length still does",2,"2026-04-21 19:37:06"
task,80,created,"Contact Us page - Technical Support submission not going into our inbox 04/21",2,"2026-04-21 21:02:10"
task,80,uploaded,"Screenshot 2026-04-21 at 1.59.34 PM.png",2,"2026-04-21 21:02:12"
task,57,edited,"Metadata updated",2,"2026-04-23 16:16:49"
task,81,created,"Inbound form submissions",2,"2026-04-23 16:33:25"
task,81,uploaded,"Screenshot 2026-04-23 at 9.29.07 AM.png",2,"2026-04-23 16:33:26"
task,77,status:Pending,"Completed → Pending",2,"2026-04-23 18:27:27"
task,55,status:Completed,"Pending → Completed",2,"2026-04-23 18:28:38"
task,49,status:Completed,"Ready for Review → Completed",2,"2026-04-23 18:33:13"
task,82,created,"Resources page content populate",2,"2026-04-23 18:35:06"
task,50,status:Completed,"Ready for Review → Completed",2,"2026-04-23 18:35:13"
task,52,status:Completed,"Ready for Review → Completed",2,"2026-04-23 18:35:24"
task,54,status:Pending,"Ready for Review → Pending",2,"2026-04-23 18:35:42"
task,58,status:Pending,"Ready for Review → Pending",2,"2026-04-23 18:36:02"
task,58,commented,"Duplicated task with Task #77 · UI Change Mobile side",2,"2026-04-23 18:37:10"
task,58,status:Completed,"Pending → Completed",2,"2026-04-23 18:37:41"
task,77,commented,"We want Works With Products section on mobile SPP shows as horizontal scrolling ",2,"2026-04-23 18:38:04"
task,59,status:Completed,"Ready for Review → Completed",2,"2026-04-23 18:38:17"
task,60,status:Pending,"Ready for Review → Pending",2,"2026-04-23 18:39:28"
task,60,commented,"Still shows with pages, not load more",2,"2026-04-23 18:39:45"
task,61,status:Completed,"Ready for Review → Completed",2,"2026-04-23 18:39:56"
task,64,status:Completed,"Ready for Review → Completed",2,"2026-04-23 18:41:18"
task,68,status:Completed,"Ready for Review → Completed",2,"2026-04-23 18:48:51"
task,69,status:Completed,"Ready for Review → Completed",2,"2026-04-23 18:49:31"
task,72,status:Pending,"Ready for Review → Pending",2,"2026-04-23 18:50:15"
task,79,status:Completed,"Ready for Review → Completed",2,"2026-04-23 18:52:13"
task,65,status:Pending,"Needs Clarification → Pending",2,"2026-04-23 18:52:32"
task,56,status:Completed,"Ready for Review → Completed",2,"2026-04-23 19:05:02"
task,77,"status:Ready for Review","Pending → Ready for Review",1,"2026-04-24 17:03:42"
task,77,status:Pending,"Ready for Review → Pending",2,"2026-04-24 17:11:11"
task,77,uploaded,"WhatsApp Image 2026-04-24 at 10.11.06.jpeg",2,"2026-04-24 17:11:36"
task,77,commented,"It's still vertical. We need the original horizontal sliding layout for work-wit",2,"2026-04-24 17:13:19"
task,75,commented,"Please close this",1,"2026-05-01 14:55:06"
task,82,comment_added,"Scope clarification added — re-framed as multi-phase content program with phased delivery expectations",1,"2026-05-01 15:22:19"
feature,4,updated,"Feature description updated with full workload context — 2 emailers/week + full dev/SEO load documented. Article output set to 1/month as realistic committed pace.",1,"2026-05-01 15:38:01"
task,76,eta,"Scheduled for May 11, 2026",1,"2026-05-01 15:50:05"
task,81,status_changed,"Status changed from Pending to In Progress — hybrid lead capture implemented in contact-page.liquid",1,"2026-05-01 16:00:44"
task,80,status_changed,"Status changed from Pending to Ready for Review — contact[subject] field added to Technical Support form",1,"2026-05-01 16:00:44"
task,75,status:Completed,"Ready for Review → Completed",2,"2026-05-01 16:15:18"
task,81,status_changed,"Marked Completed — Shopify Forms panel integration not possible (platform limitation). Hybrid lead capture implemented instead: silent customer creation + source tagging on every submission.",1,"2026-05-01 16:19:19"
task,83,created,"Brands Hexagon & all brands page: new brands adding",2,"2026-05-01 21:15:25"
task,83,uploaded,"Screenshot 2026-05-01 at 2.10.33 PM.png",2,"2026-05-01 21:15:27"
task,83,uploaded,"Screenshot 2026-05-01 at 2.06.30 PM.png",2,"2026-05-01 21:15:27"
task,83,uploaded,"Screenshot 2026-05-01 at 2.06.12 PM.png",2,"2026-05-01 21:15:27"
task,84,created,"Change Icon of Indian Specialty in the main menu bar",2,"2026-05-01 21:18:03"
task,84,uploaded,"Screenshot 2026-05-01 at 9.54.13 AM.png",2,"2026-05-01 21:18:05"
task,80,status:Pending,"Ready for Review → Pending",2,"2026-05-01 21:25:21"
task,80,commented,"Did you test it? Still not coming the Tech Support submissions I just tested. Th",2,"2026-05-01 21:26:17"
task,51,edited,"Metadata updated",2,"2026-05-01 21:29:40"
task,70,edited,"Metadata updated",2,"2026-05-01 21:29:56"
task,81,status:Pending,"Completed → Pending",2,"2026-05-01 21:35:40"
task,81,commented,"Please do NOT close task on your side. 
Tested the ""2. SHOPIFY CUSTOMER CREATIO",2,"2026-05-01 21:36:41"
task,74,commented,"We need monthly report and target. This is an ongoing task",2,"2026-05-01 21:37:27"
task,74,status:Pending,"Completed → Pending",2,"2026-05-01 21:38:08"
task,85,created,"In Sale Section, 0 price products are hidden",2,"2026-05-01 22:04:42"
task,85,uploaded,"Screenshot 2026-05-01 at 3.00.44 PM.png",2,"2026-05-01 22:04:45"
task,81,comment_added,"Fix deployed — Shopify customer creation rebuilt via Admin API backend route",1,"2026-05-02 07:12:46"
task,74,comment_added,"Scope boundary set — redirected new items to future engagement",1,"2026-05-02 07:31:08"
task,51,comment_added,"Clarification requested — logic definition needed before implementation",1,"2026-05-02 07:36:35"
task,82,status_change,"First batch of 3 articles published — status set to Ready for Review",1,"2026-05-02 07:42:28"
task,51,status_change,"Sections unhidden — enable_bottom_related set to true, pushed to live theme",1,"2026-05-02 07:44:43"
task,54,status_changed,"Status changed from Pending to Ready for Review",1,"2026-05-02 07:46:39"
task,60,status_changed,"Status changed from Pending to Ready for Review",1,"2026-05-02 07:51:36"
task,85,status_change,"Zero-price skip removed from both slider sections — products now visible with Get a Quote",1,"2026-05-02 07:58:31"
task,84,"status:Ready for Review","Pending → Ready for Review",1,"2026-05-02 08:16:53"
task,83,"status:Needs Clarification","Pending → Needs Clarification",1,"2026-05-02 08:24:17"
task,51,"status:Ready for Review","Pending → Ready for Review",1,"2026-05-02 08:28:39"
task,77,"status:Ready for Review","Pending → Ready for Review",1,"2026-05-02 08:32:15"
task,77,"status:Ready for Review","Ready for Review → Ready for Review",1,"2026-05-02 08:34:37"
task,54,status_changed,"Status changed to Ready for Review after Playwright verification",1,"2026-05-02 08:38:34"
task,81,"status:Ready for Review","Pending → Ready for Review",1,"2026-05-02 08:44:44"
task,73,status_changed,"Status changed from Pending to Needs Clarification — platform limitation identified, scope needs client confirmation",1,"2026-05-02 08:52:08"
task,81,status_change,"All follow-up issues resolved — scope fix, keepalive fix, opt-in consent checkbox added",1,"2026-05-02 08:52:57"
task,72,comment_added,"Closed — layout is by design, blank space is a content issue not a dev issue",1,"2026-05-02 09:00:42"
task,71,status_changed,"Status changed from Pending to Needs Clarification — two options presented, client must choose",1,"2026-05-02 09:01:08"
task,70,status_changed,"Status changed from Pending to Ready for Review",1,"2026-05-02 09:08:00"
task,70,comment_added,"Added implementation notes: section hidden by default, client enables toggle and selects collections in theme editor",1,"2026-05-02 09:31:48"
task,57,"status:Ready for Review","Pending → Ready for Review",1,"2026-05-02 09:36:28"
task,74,"status:Ready for Review","Needs Clarification → Ready for Review",1,"2026-05-02 09:39:54"
task,80,comment_added,"Added analysis: cannot self-test (Shopify notification email restriction), file upload field identified as likely root cause",1,"2026-05-02 09:44:00"
task,65,status_change,"Status changed from Pending to Ready for Review",1,"2026-05-02 09:44:53"
task,80,comment_added,"Referenced prior WhatsApp communication (Feb 6, 2026) — file upload limitation already explained to client with two options, no reply received",1,"2026-05-02 10:10:47"
task,80,"status:Ready for Review","Pending → Ready for Review",1,"2026-05-02 10:13:30"
task,80,status_changed,"Status changed to Ready for Review — file upload implemented via chatbot server endpoint",1,"2026-05-02 11:05:30"
task,86,created,"Order Status page showing backend codes",2,"2026-05-04 21:26:10"
task,86,uploaded,"Screenshot 2026-05-04 at 2.23.04 PM.png",2,"2026-05-04 21:26:11"
task,84,status:Completed,"Ready for Review → Completed",2,"2026-05-05 16:26:50"
task,51,commented,"I know these toggles and how to assign collection. First thing, before you fixed",2,"2026-05-05 16:45:06"
task,51,status:Pending,"Ready for Review → Pending",2,"2026-05-05 16:45:18"
task,86,status_changed,"Status changed from Pending to Ready for Review — bug confirmed outside dev scope (Shopify checkout settings, not theme)",1,"2026-05-05 17:02:49"
task,77,status:Completed,"Ready for Review → Completed",2,"2026-05-05 17:32:29"
task,74,status:Completed,"Ready for Review → Completed",2,"2026-05-05 17:37:10"
task,80,commented,"Thank you so much, it's working",2,"2026-05-05 17:58:12"
task,80,status:Completed,"Ready for Review → Completed",2,"2026-05-05 17:58:16"
task,60,status:Completed,"Ready for Review → Completed",2,"2026-05-05 17:59:34"
task,54,status:Completed,"Ready for Review → Completed",2,"2026-05-05 23:42:12"
task,65,commented,"The feature button is there, however it's not capturing shipping correctly.",2,"2026-05-05 23:56:31"
task,65,status:Pending,"Ready for Review → Pending",2,"2026-05-05 23:56:44"
task,65,uploaded,"Screenshot 2026-05-05 at 4.54.24 PM.png",2,"2026-05-05 23:56:57"
task,70,status:Completed,"Ready for Review → Completed",2,"2026-05-06 00:08:26"
task,82,status:Completed,"Ready for Review → Completed",2,"2026-05-06 00:10:46"
task,82,status:Completed,"Completed → Completed",2,"2026-05-06 00:10:48"
task,86,status:Completed,"Ready for Review → Completed",2,"2026-05-06 00:21:49"
task,85,commented,"Please also apply this fix to Limited Time Sale section with Shopify collection ",2,"2026-05-06 00:27:12"
task,85,commented,"Please also apply this fix to Limited Time Sale section with Shopify collection ",2,"2026-05-06 00:27:13"
task,85,status:Pending,"Ready for Review → Pending",2,"2026-05-06 00:27:22"
task,87,created,"Display actual color swatches for variants",2,"2026-05-06 18:33:12"
task,87,uploaded,"Screenshot 2026-05-06 at 11.29.55 AM.png",2,"2026-05-06 18:33:39"
task,87,uploaded,"Screenshot 2026-05-06 at 11.29.33 AM.png",2,"2026-05-06 18:33:39"
task,87,edited,"Metadata updated",2,"2026-05-06 18:35:53"
