task_id,title,task_type,priority,status,classification,created_at,started_at,completed_at,eta_date,deadline,comment_count,first_comment,last_comment,classification_reason,description_excerpt
54,Journey page UI refinement,UI Change,Medium,Pending,WAITING_FOR_CLIENT,2026-04-02 09:00:00,,2026-07-27 15:57:54,,,7,2026-04-15 15:47:55,2026-07-27 18:45:43,"Client asked ""where will this page be embedded?"" + sent improvement attachments on Jul 27 — no Hiraya reply recorded","Journey page layout — tighter spacing, more compact layout.  Requested via Jielin timeline message (2026-04-15)."
55,Mini cart feature,Feature,High,Completed,COMPLETED,2026-04-04 09:00:00,,2026-04-23 18:28:38,,,3,2026-04-15 15:49:15,2026-04-21 18:54:40,,Mini cart enhancement request — compact cart interaction.  Requested via Jielin timeline message (2026-04-15).
56,Product logic — zero-price handling & card notes,Feature,Medium,Completed,COMPLETED,2026-04-04 09:00:00,,2026-04-21 19:27:46,,,3,2026-04-15 15:49:15,2026-04-21 19:27:46,,0-price product handling plus notes inside product cards.  Requested via Jielin timeline message (2026-04-15).
57,Outbound customer notifications: improve the default Shopify templates,Feature,Medium,Completed,COMPLETED,2026-04-09 09:00:00,,2026-05-21 22:05:42,,,5,2026-04-15 15:49:15,2026-05-21 21:51:04,,Path: Shopify Admin Settings >> Notifications >> Customer notifications  https://admin.shopify.com/store/celebratefestivalinc/settings/notifications/customer
58,work_with_products limit + mobile UI issue,Bug,High,Completed,COMPLETED,2026-04-10 09:00:00,,2026-04-23 18:37:41,,,4,2026-04-15 15:49:15,2026-04-23 18:37:10,,"Works With Products section on mobile SPP shows as horizontal scrolling carousel instead of vertical list. When many products are added via the works_with_products metafield, the horizontal layout ove"
59,call-to-order tag issue,Bug,High,Completed,COMPLETED,2026-04-10 09:00:00,,2026-04-23 18:38:17,,,4,2026-04-15 15:49:15,2026-04-20 19:14:44,,"call-to-order tag affecting product/variant behavior incorrectly. Specifically: on products tagged call-to-order, product images and variant selectors stop responding (clicks have no effect). After re"
60,Load More instead of pagination (CPH / Hashtag portal),Feature,Medium,Completed,COMPLETED,2026-04-11 09:00:00,,2026-05-05 17:59:34,,,5,2026-04-15 15:49:15,2026-05-02 07:51:36,,Replace paginated navigation with Load More pattern on CPH / Hashtag portal.  Requested via Jielin timeline message (2026-04-15).
61,SEO — pricing in Google search results,Feature,Medium,Completed,COMPLETED,2026-04-11 09:00:00,,2026-04-23 18:39:56,,,2,2026-04-15 15:47:55,2026-04-17 18:36:16,,Expose product pricing in Google search results via structured data / Merchant listings.  Requested via Jielin timeline message (2026-04-15).
64,SPP other_resources metafield — wrong filename + broken links,Bug,High,Completed,COMPLETED,2026-04-15 16:46:47,,2026-04-23 18:41:18,,,3,2026-04-15 16:47:13,2026-04-20 20:45:46,,"In the Resources & Documents accordion on the SPP, files added via the other_resources metafield (list.file_reference) display as ""GenericFileDrop"" instead of their actual filename, and clicking them "
65,Estimate Shipping — sidebar cart modal,Feature,Medium,Completed,COMPLETED,2026-04-15 16:48:31,,2026-05-02 09:44:53,2026-04-29,2026-04-29,6,2026-04-16 17:44:45,2026-05-18 11:55:51,,"Client wants an Estimate Shipping feature inside the sidebar/drawer cart. Needs full planning and research before implementation can begin.  Scope as described: - A button labelled ""Estimate Shipping"""
68,AI chatbot page — messages not scrollable when chat gets long,Bug,High,Completed,COMPLETED,2026-04-15 18:37:20,,2026-04-23 18:48:51,,,0,,,,"On the AI Kitchen Consultant page (/pages/ai-kitchen-consultant), when the conversation grows long the chat messages overflow out of the viewport with no scroll. User cannot read earlier messages.  Ro"
69,"Chatbot — messages overflow and push page, no inner scroll",Bug,High,Completed,COMPLETED,2026-04-15 19:07:35,,2026-04-23 18:49:31,,,1,2026-04-15 19:34:18,2026-04-15 19:34:18,,"On the Celebrate Festival site chatbot widget: as the conversation grows, the message list does NOT scroll inside the chat card. Instead the earlier messages push the top bar up and the whole chat box"
70,Image Icon categories section 04/16,Feature,Medium,Completed,COMPLETED,2026-04-16 20:54:09,,2026-05-06 00:08:26,,,2,2026-05-02 09:08:00,2026-05-02 09:31:48,,We have Icon categories already in the L2 page as shown attached. Need to add similar section in the main page under trusted brands section.
71,Snapshot/thumbnail for pdf files 04/16,Feature,Medium,Completed,COMPLETED,2026-04-16 20:58:21,,2026-05-21 00:13:07,,,11,2026-05-02 09:01:08,2026-05-18 13:52:15,,"For files in the Resources section, show the snapshot of the pdf instead of only the doc name."
72,Image zoom effect & pic size,UI Change,Medium,Completed,COMPLETED,2026-04-16 21:03:09,,2026-05-14 16:48:52,,,7,2026-04-18 19:17:22,2026-05-14 14:35:11,,"The current Zoom in effect goes too big, not help end customer to view. Also, can the product pictures size fits the image box? not leaving too much blank in both sides"
73,Certifications metafields like drop down menu,Feature,Low,Completed,COMPLETED,2026-04-16 21:04:14,,2026-05-11 20:08:06,,,2,2026-05-02 08:52:08,2026-05-11 20:08:01,,This metafields is using JSON format. Need to change to drop down menu
74,Online Traffic Analytics Reports,Feature,Medium,Completed,COMPLETED,2026-04-16 21:17:11,,2026-04-21 19:27:46,,,2,2026-05-01 21:37:27,2026-05-02 07:31:08,,This is a reminder of monthly reports on: 1. SEO performance 2. Social media presence 3. UX
75,L3 category not shows products properly 04/17,Bug,High,Completed,COMPLETED,2026-04-17 20:59:53,,2026-05-01 16:15:18,,,4,2026-04-17 21:00:52,2026-05-01 14:55:06,,"1. Was checking Indian Specialty products for emailer use, noticed that Kitchen Utensils subcategories are not showing all products. 2. if hit back to the previous path, it direct to bad page.  Check "
76,Inventory status feature - 2nd iteration 04/20,Feature,High,Pending,ACTIVE_PRIORITY,2026-04-20 20:30:55,,2026-05-25 14:41:22,2026-05-11,2026-05-11,13,2026-05-02 11:24:21,2026-08-04 22:47:20,High priority; ETA was 2026-05-11 (93 days overdue); last comment Aug 4 2026; vendor-based out-of-stock logic involves multiple vendors,"For those out-of-stock products, needs to differentiate Indian products vs USA products with different text.  1. No changes needed for USA products.  2. For Indian products/variants, if out-of-stock, "
77,Mobile side:,UI Change,High,Completed,COMPLETED,2026-04-20 20:53:16,,2026-04-21 19:26:08,,,9,2026-04-21 18:02:15,2026-04-24 17:13:19,,Product Page on mobile: work_with_products & Description section break the phone page width
78,LinkedIn Insight Tag — Sitewide Installation,Feature,Medium,Completed,COMPLETED,2026-04-21 14:19:34,,,,,0,,,,Install the LinkedIn Insight Tag globally in theme.liquid above </body> so it fires on every page for audience tracking and retargeting.\n\nPartner ID: 9205612
79,LinkedIn Conversion Tracking — Button Click Events,Feature,Medium,Completed,COMPLETED,2026-04-21 14:19:34,,2026-04-21 19:31:46,,,1,2026-04-21 19:31:46,2026-04-21 19:31:46,,"Add LinkedIn conversion tracking event to specific button or form submission elements so Jielin can track button clicks in LinkedIn Campaign Manager.\n\nCode to fire on click:\nwindow.lintrk('track', "
80,Contact Us page - Technical Support submission not going into our inbox 04/21,Bug,Low,Completed,COMPLETED,2026-04-21 21:02:10,,2026-05-05 17:58:16,,,6,2026-05-01 16:00:44,2026-05-05 17:58:12,,Only the Technical Support submission not going into our inbox as I tested multiple times. Other forms are good. 
81,Inbound form submissions,Feature,Medium,Completed,COMPLETED,2026-04-23 16:33:25,,2026-05-11 17:20:15,,,8,2026-05-01 16:00:44,2026-05-13 20:41:16,,"Currently all inquiries (support, general, financing) are being sent as plain text emails. We’ve installed Shopify Forms app to store submissions, and need to align on finalizing this setup.  APP link"
82,Resources page content populate,Feature,Low,Completed,COMPLETED,2026-04-23 18:35:06,,2026-05-06 00:10:46,,,2,2026-05-01 15:22:19,2026-05-02 07:42:28,,"Now that this page structure is in place, need to create related content/posts."
83,Brands Hexagon & all brands page: new brands adding,UI Change,High,Completed,COMPLETED,2026-05-01 21:15:25,,2026-08-06 17:48:43,,,13,2026-05-02 08:09:35,2026-08-04 22:49:25,,With more new vendors added to our Shopify: 1. Hexagon section: need to redesign/compact to include more logos  2. All brands page: can new vendor logos be visible automatically after new vendor-logo-
84,Change Icon of Indian Specialty in the main menu bar,Feature,Medium,Completed,COMPLETED,2026-05-01 21:18:03,,2026-05-05 16:26:50,,,0,,,,"Rupesh changed this icon long time ago, it was overwritten. "
85,"In Sale Section, 0 price products are hidden",Bug,Low,Completed,COMPLETED,2026-05-01 22:04:42,,2026-06-01 18:30:46,,,3,2026-05-02 07:58:31,2026-05-06 00:27:13,,"Please check this collection (name in Shopify: New Theme -Sale Collection, and link pasted below). The first product Lincoln oven (SKU 1400‐FB2G) is 0 priced and it's hidden in the storefront.  https:"
86,Order Status page showing backend codes,Bug,Medium,Completed,COMPLETED,2026-05-04 21:26:10,,2026-05-06 00:21:49,,,1,2026-05-05 17:02:49,2026-05-05 17:02:49,,order status page link:  https://celebratefestivalinc.com/56234836013/orders/a831c1bb10f26fb58e3ef485fc8553da  Need to hide those codes.
87,Display actual color swatches for variants,UI Change,Medium,Completed,COMPLETED,2026-05-06 18:33:12,,2026-06-02 17:06:56,,,5,2026-05-08 19:31:27,2026-06-01 19:02:25,,"Please help us evaluate this request: to display actual color swatches, instead of just text names on storefront. The variants color options and metafields are connected on Shopify. Check attachments."
88,Update tandoor image in the Hero Slider,Bug,High,Completed,COMPLETED,2026-05-11 20:14:03,,2026-05-20 23:09:02,,,2,2026-05-18 12:09:15,2026-05-18 13:46:43,,
89,Our Trusted Restaurant Partners - new section in main page & a new partners page,Feature,High,Pending,WAITING_FOR_CLIENT,2026-05-11 22:12:19,,,2026-06-01,,2,2026-05-18 13:50:44,2026-07-07 22:33:48,ETA was 2026-06-01 (72 days overdue); client last asked about it Jul 7; interactive map + partner logos needed,Rupesh asks for a new section in main page and its own separate partners page to present the chain restaurants we have business with. We want to have: 1.⁠ ⁠The Map marked with our business presence. (
90,"Repeated ""Free Shipping"" Lable in SPP",Bug,Low,Completed,COMPLETED,2026-05-13 16:18:50,,2026-07-07 22:15:53,,,1,2026-06-17 16:09:01,2026-06-17 16:09:01,,
91,Financing Button directs to 404 page,Bug,Medium,Completed,COMPLETED,2026-05-13 16:35:23,,2026-05-20 23:08:14,,,1,2026-05-18 14:09:27,2026-05-18 14:09:27,,Financing Button at top right in main page directs to 404 page. 
92,Track Order button update landing page,UI Change,Low,Completed,COMPLETED,2026-05-13 16:50:50,,2026-05-25 14:41:22,,,6,2026-05-25 14:41:22,2026-06-01 19:02:25,,Please link the Track Order button to the Orders page as shown attached.
93,Track Order button update landing page,UI Change,Low,Completed,COMPLETED,2026-05-13 16:50:52,,2026-05-13 17:00:43,,,1,2026-05-13 17:00:39,2026-05-13 17:00:39,,Please link the Track Order button to the Orders page as shown attached.
94,Use Case image remove emoji,UI Change,Medium,Completed,COMPLETED,2026-05-13 19:02:09,,2026-05-21 18:58:52,,,0,,,,
95,Use Case section new pages,Feature,High,Completed,COMPLETED,2026-05-13 20:06:21,,2026-05-26 14:54:49,,,4,2026-05-26 14:54:49,2026-05-28 00:19:12,,"This Feature development is high priority. Rupesh expect it by the end of this month.  We need to create 2 Use Case pages as shown attached. 1. One page is for after clicking the ""View More Use Cases"""
96,Outbound customer notifications: Order confirmation,Feature,High,Completed,COMPLETED,2026-05-21 22:26:39,,2026-08-03 22:37:54,,,5,2026-07-07 22:34:46,2026-07-31 17:42:28,,"Please check the preview email of Order confirmation template. Changes we want: 1. Fix the issue of broken CFI logo 2. Don't use emoji 3. Move up ""DELIVERY & PAYMENT"" in our new template up before ite"
97,Outbound customer notifications: Shipping confirmation,Feature,Medium,Completed,COMPLETED,2026-05-21 22:49:40,,2026-07-28 22:03:00,,,3,2026-07-07 22:35:01,2026-07-27 19:14:30,,"Please check the preview email of Shipping confirmation template and also our current template. Changes we want: 1. Fix the issue of broken CFI logo 2. Don't use emoji 3. Move up ""SHIPPING TO"" section"
98,WSH updated integration with Price Box,Feature,Medium,Pending,ACTIVE_PRIORITY,2026-05-27 18:32:44,,,,,1,2026-07-07 22:35:22,2026-07-07 22:35:22,WSH Volume Discount integration broke Price Box UI (May 27); client provided clear requirements; no Hiraya action evident in git since filed; 77 days open,"We're implementing WSH new feature ""Volume discount"" which requires the new integration. The WSH team completed theme is ""Celebrate-festival-PT - preWPD -- WPD_BDR"".  The update integration broke the "
99,Add SGS Certificate into Metafields >> Product Certificates (JSON format),Feature,High,Completed,COMPLETED,2026-06-03 23:13:10,,2026-06-04 16:38:01,,,1,2026-06-04 10:44:32,2026-06-04 10:44:32,,Need to configure the SGS certificate into Product Certificates metafields. Check the SGS icon in attachment.  This is metafields link https://admin.shopify.com/store/celebratefestivalinc/settings/cus
